"hhid","id","ZONE","REGNAME","plotno","AEZ","fs","SOC","SOC2","ph","ph2","RootDepth","elevation","yld","crop_qty_harv","lab_val1","lab_val2","lab_val3","lab_val4","implmt_valu","lvstk_valu","fung","herb","insec","manure","mech","N","irrig","area","area_tot","dist_hh","crop_count","rural","lat","lon","YW","phdum","phdum2","crop_count2","logyld","yesN","noN","logN","lab","loglab","logarea","asset","logasset","logNsq","loglabsq","logassetsq","logNlab","logNasset","loglabasset","DISCODE","Pm","Pn","Pnm","Pns","relprice"
"101023018",20,2,"WESTERN REGION",2,"Tropic - warm / humid","Humid lowland tree crop",4.74043471906871,7.16082199407958,53.831139254934,53.5103307001065,43.1805466366974,112.349998474121,366.254943515775,300,61,69,59,58,85,0,0,0,0,0,0,0,0,0.819101572036743,2.8668555021286,"0.3KM",5,"Rural",5.88734292984009,-2.07244229316711,11.1068266666667,"1",0,0,5.90332965789418,0,1,0,301.549903494655,5.70893551986595,-0.199547183237977,29.6492097131818,3.4226068778143,0,32.5919447699872,11.7142378400617,0,0,19.5394419752916,16,0.573108371828759,4,5.33333333333333,1,1.74487068965517
"101023018",21,2,"WESTERN REGION",3,"Tropic - warm / humid","Humid lowland tree crop",4.74043471906871,7.16082199407958,53.831139254934,53.5103307001065,43.1805466366974,112.349998474121,244.16996234385,200,62,70,60,59,85,0,0,0,0,0,0,0,0,0.819101572036743,2.8668555021286,"0.4KM",5,"Rural",5.88734292984009,-2.07244229316711,11.1068266666667,"1",0,0,5.49786454978601,0,1,0,306.433302741532,5.72500012236976,-0.199547183237977,29.6492097131818,3.4226068778143,0,32.7756264011338,11.7142378400617,0,0,19.5944247943104,16,0.573108371828759,4,5.33333333333333,1,1.74487068965517
"101023031",23,2,"WESTERN REGION",2,"Tropic - warm / humid","Humid lowland tree crop",5.153607519453,7.53306005319272,54.9010573760909,54.6523323881498,79.2950591090586,111.150001525879,24.7099996253119,50,32,71,54,46,27,60,0,1,0,0,0,0,0,2.02347230911255,17.8065561056137,"0.3KM",4,"Rural",5.90092277526855,-2.0990002155304,11.1068266666667,"1",0,0,3.2072080048371,0,1,0,100.322598478766,4.60839097845074,0.704815000591049,4.88584089388134,1.77254961816515,0,21.2372674102662,3.14193214885743,0,0,8.16860166920859,16,0.605188112941874,4,5.33333333333333,1,1.65237878705005
"101023036",24,2,"WESTERN REGION",1,"Tropic - warm / humid","Humid lowland tree crop",4.24894310825423,6.35409180688318,52.7541238848047,52.6360911642368,45.0173143861296,102.73999786377,444.779993255613,900,30,76,59,48,26,0,0,1,0,0,0,0,0,2.02347230911255,4.85633355379105,"0.4KM",5,"Rural",5.88264274597168,-2.06150794029236,11.1068266666667,"1",0,0,6.09757976273326,0,1,0,105.264598403829,4.65647716511838,0.704815000591049,5.35383323900875,1.8490582904618,0,21.6827795892689,3.41901656152552,0,0,8.6100977065082,16,0.573108371828759,4,5.33333333333333,1,1.74487068965517
"101023036",25,2,"WESTERN REGION",2,"Tropic - warm / humid","Humid lowland tree crop",4.24894310825423,6.35409180688318,52.7541238848047,52.6360911642368,45.0173143861296,102.73999786377,1111.94996676189,900,30,77,60,49,26,0,0,1,0,0,0,0,0,0.809388935565948,4.85633355379105,"0.3KM",5,"Rural",5.88264274597168,-2.06150794029236,11.1068266666667,"1",0,0,7.01387047987911,0,1,0,266.867992022854,5.58675412423896,-0.211475716554799,5.35383323900875,1.8490582904618,0,31.2118216447011,3.41901656152552,0,0,10.3302340301957,16,0.573108371828759,4,5.33333333333333,1,1.74487068965517
"101023037",26,2,"WESTERN REGION",1,"Tropic - warm / humid","Humid lowland tree crop",4.74486865366146,6.69756820808955,53.6651607130032,53.3487490710077,43.9011938779374,107.069999694824,781.343834014658,800,23,89,69,41,108,350,0,0,0,0,0,0,0,1.02387702465057,2.66208016872406,"0.3KM",5,"Rural",5.86519384384155,-2.05092430114746,11.1068266666667,"1",0,0,6.66101530137704,0,1,0,216.822913939068,5.37908095558139,0.0235964262908865,172.045908076285,5.15355692389762,0,28.9345119266984,26.5591489678531,0,0,27.7213999028423,16,0.0716385464785949,4,5.33333333333333,1,13.9589655172414
"101023040",27,2,"WESTERN REGION",5,"Tropic - warm / humid","Humid lowland tree crop",4.77263129532018,6.74569666681164,53.5381090621682,53.3699770856569,44.2245062192095,109.709999084473,658.933362161542,400,32,93,78,50,95,0,0,0,0,0,0,0,0,0.607041656970978,3.6422501206398,"0.2KM",5,"Rural",5.85239791870117,-2.06218075752258,11.1068266666667,"1",0,0,6.4906224097561,0,1,0,416.775351567175,6.03254735137564,-0.499157862648119,26.0827776383771,3.29889801436363,0,36.3916275465892,10.8827281091723,0,0,19.9007584790076,16,0.573108371828759,4,5.33333333333333,1,1.74487068965517
"101024028",28,2,"WESTERN REGION",2,"Tropic - warm / humid","Humid lowland tree crop",4.91991911976688,8.27177272847725,51.4750109824929,51.4397798270873,50.4101396796363,125.089996337891,741.299977841262,300,31,79,61,49,16,1600,0,0,0,0,0,0,0,0.404694467782974,1.61877778172493,"100M",5,"Rural",6.04240226745605,-2.41367888450623,11.1068266666667,"1",0,0,6.60840537177095,0,1,0,543.619983750259,6.29825044346711,-0.904622897114744,998.284025295943,6.90703904784578,0,39.6679586486336,47.7071884084664,0,0,43.5022617461393,17,0.28655418591438,4,5.33333333333333,1,3.48974137931034
"101024043",29,2,"WESTERN REGION",1,"Tropic - warm / humid","Humid lowland tree crop",5.12283364842125,8.86952405652541,52.5486438964832,52.4266315913946,58.3267966173948,130.860000610352,164.733340540386,400,48,100,78,51,424,0,0,0,0,0,0,0,0,2.42816662788391,4.04694449901581,"100METRES",4,"Rural",6.00875425338745,-2.42369508743286,11.1068266666667,"1",0,0,5.10432804863621,0,1,0,114.077838324217,4.73688100771557,0.887136498471772,104.770401497504,4.66127072128155,0,22.4380416812564,21.7274447370766,0,0,22.0798847514592,17,0.14327709295719,4,5.33333333333333,1,6.97948275862069
"101031075",30,2,"WESTERN REGION",1,"Tropic - warm / humid","Humid lowland tree crop",5.1014804987679,7.40457440812347,55.2228665958508,54.3625733203672,67.9761263885926,234.919998168945,82.3666702701928,100,13,120,103,33,22,0,0,0,0,0,0,0,0,1.21408331394196,2.0234722495079,"1",5,"Urban",6.43529033660889,-2.32009267807007,11.1068266666667,"2",0,0,4.41118086807626,0,1,0,221.566343026819,5.40072206169001,0.193989317911826,10.8724001554013,2.4742163916691,0,29.1677987876252,6.12174675280407,0,0,13.3625550518824,11,0.214915639435785,4,5.33333333333333,1,4.65298850574713
